count,FlightNum,DepDelay,Origin,Dest,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
29,3920,58.10344827586207,IND,BWI,7.068965517241379,4.9655172413793105,30.482758620689655,0,24.20689655172414
39,509,37.82051282051282,IND,LAS,11.384615384615385,0.15384615384615385,9,0,22.974358974358974
26,1333,33,IND,MCO,6.961538461538462,0.15384615384615385,11.692307692307692,0,19.5
48,675,36.854166666666664,IND,PHX,8.479166666666666,1.2291666666666667,10.104166666666666,0,22.479166666666668
63,4,37.36507936507937,IND,TPA,14.507936507936508,0.15873015873015872,16.984126984126984,0,17.761904761904763
67,54,40.776119402985074,ISP,BWI,9.895522388059701,0.4925373134328358,10.522388059701493,0,25.955223880597014
99,623,29.86868686868687,ISP,BWI,9.121212121212121,0.48484848484848486,19.333333333333332,0.18181818181818182,12.515151515151516
44,188,36.90909090909091,ISP,FLL,11.613636363636363,0.5,9.340909090909092,0,19.477272727272727
74,362,50.67567567567568,ISP,MCO,8.162162162162161,2.7837837837837838,30.364864864864863,0,18.513513513513512
83,422,50.433734939759034,ISP,MDW,13.301204819277109,1.8313253012048192,18.59036144578313,0,23.83132530120482
36,1056,51.80555555555556,ISP,PBI,8.305555555555555,0.6111111111111112,8.472222222222221,0,36.166666666666664
21,3244,24.142857142857142,JAN,BWI,7,0,8.238095238095237,0,14.238095238095237
78,186,55.38461538461539,JAN,HOU,11.423076923076923,2.4615384615384617,13.884615384615385,0,29.384615384615383
16,3154,53.6875,JAN,HOU,5.9375,0,35.5,0,8.75
35,1035,23.62857142857143,JAN,MCO,8.971428571428572,2.3142857142857145,25.771428571428572,0,9.257142857142858
39,205,42.56410256410256,JAN,MDW,9.820512820512821,1.4102564102564104,17,0,19.102564102564102
8,3430,18.875,JAX,BHM,1.875,0,4.375,1.875,11.75
44,1580,24.34090909090909,JAX,BNA,7.863636363636363,8.159090909090908,17.181818181818183,0,6.590909090909091
12,2195,32,JAX,BNA,12.083333333333334,0,13.833333333333334,3.1666666666666665,12.666666666666666
106,23,39.75471698113208,JAX,PHL,15.09433962264151,2.0943396226415096,15.29245283018868,0,17.31132075471698
69,1574,35.46376811594203,JAX,TPA,10.18840579710145,3.0434782608695654,16.565217391304348,0,19
81,500,37.27160493827161,LAS,ABQ,15.432098765432098,1.123456790123457,12.962962962962964,0,14.91358024691358
70,890,37.8,LAS,ABQ,15.128571428571428,0,9.457142857142857,0.37142857142857144,20.285714285714285
34,1171,71.91176470588235,LAS,ABQ,8.970588235294118,0,16.235294117647058,0,50.73529411764706
47,302,34.40425531914894,LAS,ALB,12.148936170212766,0.723404255319149,7.829787234042553,0,17.76595744680851
20,2021,54.5,LAS,AUS,12.75,0.25,7.45,0,33.4
50,1018,58.02,LAS,BDL,10.8,0.26,7.4,0,41.26
79,419,30.39240506329114,LAS,BNA,11.582278481012658,0.5822784810126582,14.012658227848101,0,14.063291139240507
25,2032,48.88,LAS,BNA,6.84,0.2,4.8,0,35.44
13,3940,56.23076923076923,LAS,BNA,17.384615384615383,18,4.6923076923076925,0,18.384615384615383
87,538,51.39080459770115,LAS,BOI,5.597701149425287,1.160919540229885,35.45977011494253,0,22.551724137931036
13,2383,59.46153846153846,LAS,BUF,26.46153846153846,0.07692307692307693,2.076923076923077,0,24.846153846153847
64,219,48.65625,LAS,BUR,10.71875,0.796875,12.296875,0.296875,28.640625
60,391,43.2,LAS,BUR,14.033333333333333,1.3333333333333333,18.45,1.0166666666666666,16.266666666666666
32,815,46.71875,LAS,BUR,18,0.1875,13.96875,0.15625,26.03125
20,1072,43.05,LAS,BUR,14.25,2.8,7.5,0,19.3
23,2284,46.130434782608695,LAS,BUR,6.304347826086956,10.478260869565217,2.0869565217391304,0.4782608695652174,25.08695652173913
43,2874,66.90697674418605,LAS,BUR,4.883720930232558,5.023255813953488,26.558139534883722,0,22.27906976744186
41,1774,35.75609756097561,LAS,BWI,14.365853658536585,0.21951219512195122,10.951219512195122,0,13.463414634146341
26,2632,35.23076923076923,LAS,BWI,14.923076923076923,0,3.923076923076923,0.6153846153846154,14.653846153846153
55,564,85.54545454545455,LAS,CMH,4.236363636363636,0,50.32727272727273,0,33.63636363636363
26,991,22.076923076923077,LAS,CMH,6.076923076923077,0.23076923076923078,24.615384615384617,0,10.038461538461538
56,632,41.625,LAS,DEN,6.357142857142857,2.232142857142857,20.821428571428573,0,20.839285714285715
67,706,54.47761194029851,LAS,DEN,11.388059701492537,2.343283582089552,18.671641791044777,0,28.791044776119403
38,908,45.23684210526316,LAS,DEN,17.05263157894737,0,14.236842105263158,0,24
