BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE
200801,30,2200,200801,31,2300,12522,68632,IDAHO,16,2008,January,Winter Storm
200801,31,1200,200801,31,2300,12522,68633,IDAHO,16,2008,January,Winter Storm
200801,30,1300,200801,31,2300,12522,68634,IDAHO,16,2008,January,Winter Storm
200801,30,1400,200801,31,630,12522,68635,IDAHO,16,2008,January,Winter Storm
200801,27,1100,200801,29,100,12607,69059,COLORADO,8,2008,January,Winter Storm
200801,27,900,200801,29,0,12607,69061,COLORADO,8,2008,January,Winter Storm
200801,27,900,200801,28,2100,12607,69062,COLORADO,8,2008,January,Winter Storm
200801,27,1000,200801,28,2100,12607,69063,COLORADO,8,2008,January,Winter Storm
200801,27,1100,200801,28,2200,12607,69064,COLORADO,8,2008,January,Winter Storm
200801,27,800,200801,29,100,12607,69371,COLORADO,8,2008,January,Winter Storm
200801,27,1800,200801,28,1500,12658,69513,MONTANA,30,2008,January,Winter Storm
200801,27,1300,200801,28,300,12658,69515,MONTANA,30,2008,January,Winter Storm
200801,28,900,200801,28,1100,12658,69516,MONTANA,30,2008,January,Winter Storm
200801,28,1100,200801,28,1800,12658,69524,MONTANA,30,2008,January,Winter Storm
200801,28,819,200801,28,1034,12658,69526,MONTANA,30,2008,January,Winter Storm
200801,28,1110,200801,28,1523,12658,69528,MONTANA,30,2008,January,Winter Storm
200801,28,1000,200801,28,1500,12658,69533,MONTANA,30,2008,January,Winter Storm
200801,28,100,200801,28,1700,12658,69537,MONTANA,30,2008,January,Winter Storm
200801,28,900,200801,28,1500,12658,69540,MONTANA,30,2008,January,Winter Storm
200801,28,500,200801,28,1400,12658,69544,MONTANA,30,2008,January,Winter Storm
200801,28,600,200801,29,400,12658,69546,MONTANA,30,2008,January,Winter Storm
200801,28,0,200801,29,600,12658,69549,MONTANA,30,2008,January,Winter Storm
200801,28,800,200801,28,1700,12658,69553,MONTANA,30,2008,January,Winter Storm
200801,28,1030,200801,28,1700,12658,69556,MONTANA,30,2008,January,Winter Storm
200801,28,900,200801,28,1500,12658,69561,MONTANA,30,2008,January,Winter Storm
200801,28,1000,200801,28,1100,12658,69564,MONTANA,30,2008,January,Winter Storm
200801,27,1500,200801,28,900,12658,69566,MONTANA,30,2008,January,Winter Storm
200801,27,1100,200801,28,2300,12607,69692,COLORADO,8,2008,January,Winter Storm
200801,27,700,200801,29,100,12607,69693,COLORADO,8,2008,January,Winter Storm
200801,27,800,200801,29,100,12607,69694,COLORADO,8,2008,January,Winter Storm
200801,27,1600,200801,29,600,12689,69701,UTAH,49,2008,January,Winter Storm
200801,27,700,200801,28,2000,12689,69702,UTAH,49,2008,January,Winter Storm
200801,31,1100,200801,31,2359,12723,70008,ILLINOIS,17,2008,January,Winter Storm
200801,31,1100,200801,31,2359,12723,70016,ILLINOIS,17,2008,January,Winter Storm
200801,31,1100,200801,31,2359,12723,70017,ILLINOIS,17,2008,January,Winter Storm
200801,31,1100,200801,31,2359,12723,70018,ILLINOIS,17,2008,January,Winter Storm
200801,31,1000,200801,31,2359,12728,70019,MISSOURI,29,2008,January,Winter Storm
200801,31,1000,200801,31,2359,12728,70020,MISSOURI,29,2008,January,Winter Storm
200801,31,1000,200801,31,2359,12728,70022,MISSOURI,29,2008,January,Winter Storm
200801,31,1000,200801,31,2359,12728,70023,MISSOURI,29,2008,January,Winter Storm
200801,31,1000,200801,31,2359,12728,70024,MISSOURI,29,2008,January,Winter Storm
200801,26,1200,200801,27,1600,12823,70734,OREGON,41,2008,January,Winter Storm
200801,26,1000,200801,27,1000,12823,70754,OREGON,41,2008,January,Winter Storm
200801,26,1200,200801,27,2100,12827,70792,WASHINGTON,53,2008,January,Winter Storm
200801,26,1130,200801,28,100,12827,70793,WASHINGTON,53,2008,January,Winter Storm
200801,26,1000,200801,27,1000,12827,70794,WASHINGTON,53,2008,January,Winter Storm
200801,24,100,200801,25,600,12870,71017,COLORADO,8,2008,January,Winter Storm
200801,24,300,200801,25,400,12870,71018,COLORADO,8,2008,January,Winter Storm
200801,24,400,200801,25,800,12871,71034,UTAH,49,2008,January,Winter Storm
200801,19,600,200801,22,500,12873,71039,COLORADO,8,2008,January,Winter Storm
200801,1,500,200801,2,300,12890,71856,OHIO,39,2008,January,Winter Storm
200801,1,700,200801,2,600,12890,71857,OHIO,39,2008,January,Winter Storm
200801,1,700,200801,2,500,12890,71859,OHIO,39,2008,January,Winter Storm
200801,1,600,200801,2,700,12890,71868,OHIO,39,2008,January,Winter Storm
200801,1,600,200801,2,500,12890,71872,OHIO,39,2008,January,Winter Storm
200801,1,800,200801,2,400,12890,71885,OHIO,39,2008,January,Winter Storm
200801,31,0,200801,31,1300,13090,72393,ARKANSAS,5,2008,January,Winter Storm
200801,31,0,200801,31,1300,13090,72394,ARKANSAS,5,2008,January,Winter Storm
200801,1,700,200801,2,200,12890,72480,OHIO,39,2008,January,Winter Storm
200801,1,600,200801,2,600,12890,72485,OHIO,39,2008,January,Winter Storm
200801,1,200,200801,2,400,13120,72494,PENNSYLVANIA,42,2008,January,Winter Storm
200801,1,700,200801,2,400,13120,72542,PENNSYLVANIA,42,2008,January,Winter Storm
200801,1,700,200801,2,400,13120,72544,PENNSYLVANIA,42,2008,January,Winter Storm
200801,29,515,200801,29,2000,12366,72663,MINNESOTA,27,2008,January,Winter Storm
200801,29,515,200801,29,2000,12366,72664,MINNESOTA,27,2008,January,Winter Storm
200801,29,600,200801,29,2000,12366,72665,MINNESOTA,27,2008,January,Winter Storm
200801,29,815,200801,29,2000,12366,72666,MINNESOTA,27,2008,January,Winter Storm
200801,29,1000,200801,29,1800,12366,72667,MINNESOTA,27,2008,January,Winter Storm
200801,29,900,200801,29,1800,12366,72668,MINNESOTA,27,2008,January,Winter Storm
200801,29,600,200801,29,1900,13157,72740,IOWA,19,2008,January,Winter Storm
200801,29,830,200801,29,1815,13157,72741,IOWA,19,2008,January,Winter Storm
200801,29,630,200801,29,1800,13157,72742,IOWA,19,2008,January,Winter Storm
200801,29,730,200801,29,2000,13157,72743,IOWA,19,2008,January,Winter Storm
200801,29,800,200801,29,2000,13157,72744,IOWA,19,2008,January,Winter Storm
200801,29,835,200801,29,1700,13157,72760,IOWA,19,2008,January,Winter Storm
200801,29,1200,200801,29,2000,13169,72805,WISCONSIN,55,2008,January,Winter Storm
200801,29,1000,200801,29,1800,13169,72806,WISCONSIN,55,2008,January,Winter Storm
200801,29,1000,200801,29,2000,13169,72807,WISCONSIN,55,2008,January,Winter Storm
200801,29,1030,200801,29,1900,13169,72808,WISCONSIN,55,2008,January,Winter Storm
200801,29,1200,200801,29,2000,13169,72810,WISCONSIN,55,2008,January,Winter Storm
200801,29,1135,200801,29,1930,13169,72811,WISCONSIN,55,2008,January,Winter Storm
200801,29,1135,200801,29,2000,13169,72812,WISCONSIN,55,2008,January,Winter Storm
200801,29,1000,200801,29,1900,13169,72813,WISCONSIN,55,2008,January,Winter Storm
200801,29,2200,200801,30,1000,13215,73333,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,2,1900,13226,73417,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,2,1900,13226,73418,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,2,1900,13226,73419,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,1200,13226,73420,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,1200,13226,73421,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,2,429,13217,73422,INDIANA,18,2008,January,Winter Storm
200801,1,0,200801,2,121,13217,73423,INDIANA,18,2008,January,Winter Storm
200801,1,0,200801,1,1200,13217,73424,INDIANA,18,2008,January,Winter Storm
200801,1,0,200801,2,100,13217,73425,INDIANA,18,2008,January,Winter Storm
200801,1,0,200801,2,429,13217,73427,INDIANA,18,2008,January,Winter Storm
200801,1,0,200801,2,429,13217,73428,INDIANA,18,2008,January,Winter Storm
200801,1,0,200801,1,1200,13217,73429,INDIANA,18,2008,January,Winter Storm
200801,1,0,200801,2,429,13217,73431,INDIANA,18,2008,January,Winter Storm
200801,1,0,200801,1,1200,13217,73433,INDIANA,18,2008,January,Winter Storm
200801,1,0,200801,1,800,13236,73511,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,800,13236,73512,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,800,13236,73513,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,800,13236,73514,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,800,13236,73515,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,800,13236,73516,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,800,13236,73517,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,800,13236,73518,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,800,13236,73519,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,800,13236,73520,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,800,13236,73521,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,800,13236,73523,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,630,13241,73530,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,630,13241,73531,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,330,13241,73532,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,415,13241,73533,MICHIGAN,26,2008,January,Winter Storm
200801,1,0,200801,1,500,13241,73534,MICHIGAN,26,2008,January,Winter Storm
