BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,county,lat,lon
200803,27,1825,200803,27,1825,15201,87053,MISSOURI,29,2008,March,Hail,"STEELVILLE",37.9485,-91.3773
200803,27,1828,200803,27,1828,15201,87054,MISSOURI,29,2008,March,Hail,"WARRENTON",38.8779,-91.13
200803,27,1837,200803,27,1837,15201,87055,MISSOURI,29,2008,March,Hail,"MOSCOW MILLS",38.9362,-90.9257
200803,27,1838,200803,27,1838,15201,87056,MISSOURI,29,2008,March,Hail,"CHERRYVILLE",37.85,-91.28
200803,27,1840,200803,27,1841,15201,87057,MISSOURI,29,2008,March,Hail,"TROY",38.98,-90.98
200803,27,1840,200803,27,1840,15201,87058,MISSOURI,29,2008,March,Hail,"TROY",38.9366,-90.98
200803,27,1915,200803,27,1915,15201,87059,MISSOURI,29,2008,March,Hail,"SCHUBERT",38.5373,-92.075
200803,27,1925,200803,27,1925,15201,87060,MISSOURI,29,2008,March,Hail,"BONNOTS MILL",38.5541,-91.9497
200803,27,1945,200803,27,1945,15201,87061,MISSOURI,29,2008,March,Hail,"BLACK",37.5044,-90.9232
200803,27,1953,200803,27,1953,15201,87062,MISSOURI,29,2008,March,Hail,"WASHINGTON",38.55,-91
200803,27,1955,200803,27,1955,15201,87063,MISSOURI,29,2008,March,Hail,"GREELEY",37.4531,-91.2042
200803,27,2055,200803,27,2055,15201,87064,MISSOURI,29,2008,March,Hail,"RHINELAND",38.72,-91.52
200803,29,2335,200803,29,2335,15231,87097,ARKANSAS,5,2008,March,Hail,"VANDERVOORT",34.38,-94.37
200803,30,30,200803,30,30,15231,87098,ARKANSAS,5,2008,March,Hail,"CLARKSVILLE",35.47,-93.47
200803,30,50,200803,30,50,15231,87099,ARKANSAS,5,2008,March,Hail,"ARKADELPHIA",34.0688,-93.1318
200803,30,50,200803,30,50,15231,87100,ARKANSAS,5,2008,March,Hail,"BLUE BALL",34.95,-93.7
200803,30,120,200803,30,120,15231,87101,ARKANSAS,5,2008,March,Hail,"SOCIAL HILL",34.33,-92.92
200803,30,125,200803,30,125,15231,87102,ARKANSAS,5,2008,March,Hail,"LAKE HAMILTON",34.4712,-93.038
200803,30,125,200803,30,125,15231,87103,ARKANSAS,5,2008,March,Hail,"DIAMONDHEAD",34.43,-92.93
200803,30,130,200803,30,130,15231,87104,ARKANSAS,5,2008,March,Hail,"DANVILLE",35.05,-93.38
200803,31,2155,200803,31,2155,15313,87116,ARKANSAS,5,2008,March,Hail,"PINE BLUFF",34.1995,-92.0448
