BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,county,lat,lon
200801,10,1455,200801,10,1456,11911,65322,TENNESSEE,47,2008,January,Tornado,"NORTH HIGHLAND",35.3243,-87.587
200801,8,826,200801,8,841,11835,65417,ARKANSAS,5,2008,January,Tornado,"MORELAND",35.3541,-93.0075
200801,8,841,200801,8,853,11835,65418,ARKANSAS,5,2008,January,Tornado,"JERUSALEM",35.411,-92.8517
200801,8,853,200801,8,858,11835,65420,ARKANSAS,5,2008,January,Tornado,"LIBERTY SPGS",35.4609,-92.7321
200801,8,1530,200801,8,1537,12575,68929,MISSISSIPPI,28,2008,January,Tornado,"CHURCH HILL",31.6949,-91.2411
200801,8,1737,200801,8,1815,12575,69056,MISSISSIPPI,28,2008,January,Tornado,"HARRISVILLE",31.99,-90.1
200801,8,1240,200801,8,1245,12716,69932,MISSOURI,29,2008,January,Tornado,"IDALIA",36.847,-89.836
200801,29,1707,200801,29,1710,12739,70095,INDIANA,18,2008,January,Tornado,"STEWARTSVILLE",38.1939,-87.8725
200801,29,1710,200801,29,1711,12739,70096,INDIANA,18,2008,January,Tornado,"CRAWLEYVILLE",38.2056,-87.7975
200801,29,1609,200801,29,1612,12744,70112,MISSOURI,29,2008,January,Tornado,"ORIOLE",37.46,-89.51
200801,29,1612,200801,29,1613,12734,70115,ILLINOIS,17,2008,January,Tornado,"WOLF LAKE",37.46,-89.46
200801,29,2000,200801,29,2013,13004,71946,KENTUCKY,21,2008,January,Tornado,"LOUISVILLE",38.2183,-85.7945
200801,29,1940,200801,29,1950,13053,72174,INDIANA,18,2008,January,Tornado,"BECKS MILL",38.5299,-86.1105
200801,29,1958,200801,29,1959,13053,72219,INDIANA,18,2008,January,Tornado,"HENRYVILLE",38.5515,-85.7572
200801,29,2010,200801,29,2012,13053,72221,INDIANA,18,2008,January,Tornado,"LEXINGTON",38.6503,-85.614
200801,8,1811,200801,8,1812,12575,72500,MISSISSIPPI,28,2008,January,Tornado,"PUCKETT",32.06,-89.75
200801,7,1750,200801,7,1751,13066,72547,MISSOURI,29,2008,January,Tornado,"PINEVILLE EDWARDS AR",36.5914,-94.3264
200801,7,2015,200801,7,2024,13066,72548,MISSOURI,29,2008,January,Tornado,"MOUNTAIN",36.5165,-94.1439
200801,7,2024,200801,7,2029,13066,72549,MISSOURI,29,2008,January,Tornado,"MAYFLOWER",36.5808,-94.078
200801,7,2112,200801,7,2113,13066,72550,MISSOURI,29,2008,January,Tornado,"MAYFLOWER",36.5141,-93.9932
200801,8,222,200801,8,226,13066,72551,MISSOURI,29,2008,January,Tornado,"WAYNE",36.6114,-93.9458
200801,7,1706,200801,7,1725,13066,72552,MISSOURI,29,2008,January,Tornado,"PIONEER",36.8159,-94.008
200801,8,231,200801,8,236,13066,72553,MISSOURI,29,2008,January,Tornado,"WHEELERVILLE",36.8104,-93.6722
200801,8,236,200801,8,244,13066,72554,MISSOURI,29,2008,January,Tornado,"ELSEY",36.8223,-93.5805
200801,10,1127,200801,10,1132,13127,72618,MISSISSIPPI,28,2008,January,Tornado,"ROCKY SPGS",32.0741,-90.8003
200801,10,1151,200801,10,1203,13127,72839,MISSISSIPPI,28,2008,January,Tornado,"PICKENS",32.8954,-89.9979
200801,10,1203,200801,10,1205,13127,72840,MISSISSIPPI,28,2008,January,Tornado,"BOYETTE",32.9624,-89.8946
200801,10,1239,200801,10,1241,13127,73274,MISSISSIPPI,28,2008,January,Tornado,"FANNIN",32.4356,-89.9554
200801,10,1228,200801,10,1247,13127,73306,MISSISSIPPI,28,2008,January,Tornado,"ETHEL",33.132,-89.5233
200801,10,1247,200801,10,1258,13127,73314,MISSISSIPPI,28,2008,January,Tornado,"WEIR",33.2154,-89.3185
200801,10,1342,200801,10,1346,13127,73413,MISSISSIPPI,28,2008,January,Tornado,"HOPE",32.7655,-89.25
200801,7,1928,200801,7,1937,13066,73611,MISSOURI,29,2008,January,Tornado,"AURORA",37.0253,-93.7302
200801,7,1937,200801,7,1938,13066,73612,MISSOURI,29,2008,January,Tornado,"BILLINGS",37.0531,-93.6193
200801,7,1757,200801,7,1805,13066,73646,MISSOURI,29,2008,January,Tornado,"REPUBLIC",37.1065,-93.5319
200801,7,1422,200801,7,1423,13066,73648,MISSOURI,29,2008,January,Tornado,"LOWRY CITY",38.1196,-93.7683
200801,8,237,200801,8,238,13066,73667,MISSOURI,29,2008,January,Tornado,"SPRINGFIELD",37.2137,-93.2808
200801,7,2136,200801,7,2137,13066,73675,MISSOURI,29,2008,January,Tornado,"RIVERDALE",36.967,-93.3042
200801,8,250,200801,8,256,13066,73683,MISSOURI,29,2008,January,Tornado,"MONTAGUE",36.93,-93.3077
200801,8,301,200801,8,303,13066,73698,MISSOURI,29,2008,January,Tornado,"BRANSON MEM ARPT",36.6293,-93.266
200801,7,2042,200801,7,2046,13066,73709,MISSOURI,29,2008,January,Tornado,"BEACH",37.4409,-92.9631
200801,7,2046,200801,7,2048,13066,73710,MISSOURI,29,2008,January,Tornado,"HANDLEY",37.4881,-92.9207
200801,7,2100,200801,7,2108,13066,73711,MISSOURI,29,2008,January,Tornado,"PHILLIPSBURG",37.5708,-92.7979
200801,7,1829,200801,7,1837,13066,73744,MISSOURI,29,2008,January,Tornado,"MULROY",37.2754,-93.1644
200801,7,1835,200801,7,1901,13066,73745,MISSOURI,29,2008,January,Tornado,"CADDO",37.3126,-93.0841
200801,7,1901,200801,7,1933,13066,73747,MISSOURI,29,2008,January,Tornado,"CONWAY",37.486,-92.7777
200801,7,1932,200801,7,1942,13066,73753,MISSOURI,29,2008,January,Tornado,"MULROY",37.223,-93.1744
200801,7,1942,200801,7,1956,13066,73756,MISSOURI,29,2008,January,Tornado,"HOLMAN",37.2689,-93.0663
200801,7,2157,200801,7,2210,13066,73763,MISSOURI,29,2008,January,Tornado,"ZENAR",37.1154,-93.0032
200801,8,317,200801,8,326,13066,73770,MISSOURI,29,2008,January,Tornado,"TIGRIS",36.9803,-92.8142
200801,8,343,200801,8,345,13066,73776,MISSOURI,29,2008,January,Tornado,"DRURY",37.0375,-92.3658
200801,8,345,200801,8,347,13066,73783,MISSOURI,29,2008,January,Tornado,"DAWSON",37.1904,-92.302
200801,8,347,200801,8,353,13066,73784,MISSOURI,29,2008,January,Tornado,"FOWLER",37.2068,-92.2469
200801,8,420,200801,8,421,13066,73785,MISSOURI,29,2008,January,Tornado,"POTTERSVILLE",36.7568,-91.9931
200801,8,459,200801,8,500,13066,73786,MISSOURI,29,2008,January,Tornado,"ALTON",36.6723,-91.4224
200801,8,427,200801,8,428,13066,73787,MISSOURI,29,2008,January,Tornado,"ALLEY SPG",37.133,-91.5177
200801,8,438,200801,8,447,13066,73788,MISSOURI,29,2008,January,Tornado,"MUNSETT",37.1563,-91.3117
200801,7,2006,200801,7,2009,13066,73789,MISSOURI,29,2008,January,Tornado,"HOOKER",37.9009,-92.0609
200801,7,2009,200801,7,2019,13066,73790,MISSOURI,29,2008,January,Tornado,"POWELLVILLE",37.9115,-92.0308
200801,7,2140,200801,7,2142,13066,73791,MISSOURI,29,2008,January,Tornado,"DOOLITTLE",38.0115,-91.8924
200801,7,2243,200801,7,2258,13066,73792,MISSOURI,29,2008,January,Tornado,"VETO",38.0523,-91.8472
200801,7,1530,200801,7,1539,13277,73813,ILLINOIS,17,2008,January,Tornado,"POPLAR GROVE",42.3874,-88.83
200801,7,1539,200801,7,1548,13277,73941,ILLINOIS,17,2008,January,Tornado,"CHEMUNG",42.4316,-88.708
200801,10,1402,200801,10,1406,12999,74028,KENTUCKY,21,2008,January,Tornado,"BON AYR",37.0599,-86.069
200801,8,1352,200801,8,1353,13077,74376,ARKANSAS,5,2008,January,Tornado,"DECKERVILLE",35.4445,-90.2921
200801,8,1420,200801,8,1425,13077,74381,ARKANSAS,5,2008,January,Tornado,"BRYMAR",35.6406,-89.9784
