BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,county,lat,lon
200802,5,1930,200802,5,1936,12917,71282,ARKANSAS,5,2008,February,Tornado,"JUNCTION CITY",33.02,-92.7645
200802,5,1650,200802,5,1652,12922,71320,TEXAS,48,2008,February,Tornado,"ARP",32.2434,-95.0635
200802,26,1330,200802,26,1330,13082,72409,FLORIDA,12,2008,February,Tornado,"WALDO",29.79,-82.17
200802,26,1437,200802,26,1437,13082,72430,FLORIDA,12,2008,February,Tornado,"KNABB",30.24,-82.2
200802,5,1825,200802,5,1828,13684,76632,KENTUCKY,21,2008,February,Tornado,"POTTERTOWN",36.6384,-88.1571
200802,5,1850,200802,5,1900,13684,76640,KENTUCKY,21,2008,February,Tornado,"MAPLE GROVE",36.8062,-87.88
200802,5,1845,200802,5,1846,13684,76641,KENTUCKY,21,2008,February,Tornado,"CANTON",36.76,-87.96
200802,5,1944,200802,5,2001,13684,76642,KENTUCKY,21,2008,February,Tornado,"GREENVILLE",37.1591,-87.2314
200802,5,1909,200802,5,1925,13684,76643,KENTUCKY,21,2008,February,Tornado,"SINKING FORK",36.9614,-87.6479
200802,5,2024,200802,5,2038,13706,76840,MISSOURI,29,2008,February,Tornado,"SHOVER",36.7,-90.14
200802,5,2018,200802,5,2024,13706,76841,MISSOURI,29,2008,February,Tornado,"FISK",36.6859,-90.22
200802,5,2003,200802,5,2009,13706,76842,MISSOURI,29,2008,February,Tornado,"HARVIELL",36.6332,-90.5159
200802,5,1931,200802,5,1948,13706,76846,MISSOURI,29,2008,February,Tornado,"BURR",36.4984,-90.9808
200802,16,2140,200802,16,2143,13788,77332,TEXAS,48,2008,February,Tornado,"YELLOWPINE",31.2602,-93.8314
200802,5,1526,200802,5,1527,13901,77960,ARKANSAS,5,2008,February,Tornado,"HAMBURG",33.2062,-91.799
200802,5,1604,200802,5,1605,13901,77984,ARKANSAS,5,2008,February,Tornado,"DERMOTT MUNI ARPT",33.4781,-91.4471
200802,5,1645,200802,5,1648,13902,77993,MISSISSIPPI,28,2008,February,Tornado,"NILES",33.8319,-90.972
200802,18,345,200802,18,350,13920,78042,NORTH CAROLINA,37,2008,February,Tornado,"HOOKERTON",35.4445,-77.58
200802,18,430,200802,18,437,13920,78043,NORTH CAROLINA,37,2008,February,Tornado,"PACTOLUS",35.63,-77.2122
200802,18,438,200802,18,445,13920,78051,NORTH CAROLINA,37,2008,February,Tornado,"OLD FORD",35.63,-77.1768
200802,18,450,200802,18,500,13920,78054,NORTH CAROLINA,37,2008,February,Tornado,"WILLIAMSTON",35.7988,-77.0069
200802,5,2317,200802,5,2318,13903,78057,LOUISIANA,22,2008,February,Tornado,"WALTERS",31.5629,-91.9836
200802,5,2332,200802,5,2343,13933,78151,KENTUCKY,21,2008,February,Tornado,"LONE STAR",37.4031,-85.9556
200802,6,46,200802,6,52,13933,78157,KENTUCKY,21,2008,February,Tornado,"VIGO",38.268,-85.2028
200802,6,52,200802,6,54,13933,78158,KENTUCKY,21,2008,February,Tornado,"WADDY",38.1218,-85.0512
200802,6,151,200802,6,152,13933,78162,KENTUCKY,21,2008,February,Tornado,"WADES MILL",38.0732,-84.1446
200802,5,2354,200802,6,5,13933,78169,KENTUCKY,21,2008,February,Tornado,"SIROCCO",37.9615,-86.2713
200802,5,2115,200802,5,2119,13476,78820,INDIANA,18,2008,February,Tornado,"BLOOMFIELD",39.0204,-86.9488
200802,6,38,200802,6,40,13933,79042,KENTUCKY,21,2008,February,Tornado,"WATERFORD",37.9917,-85.4187
200802,6,43,200802,6,45,13933,79044,KENTUCKY,21,2008,February,Tornado,"TAYLORSVILLE",38.0179,-85.34
200802,6,38,200802,6,42,13933,79059,KENTUCKY,21,2008,February,Tornado,"NELSONVILLE",37.7265,-85.6326
200802,6,50,200802,6,52,13933,79065,KENTUCKY,21,2008,February,Tornado,"WOODLAWN",37.8113,-85.3812
200802,6,129,200802,6,134,13933,79070,KENTUCKY,21,2008,February,Tornado,"BROADWELL",38.3633,-84.3778
200802,6,108,200802,6,112,13933,79072,KENTUCKY,21,2008,February,Tornado,"STEDMANTOWN",38.2428,-84.8121
200802,5,2010,200802,5,2020,14075,79125,TENNESSEE,47,2008,February,Tornado,"CLIFTON",35.3792,-88.0208
200802,5,2010,200802,5,2013,14075,79130,TENNESSEE,47,2008,February,Tornado,"SUGAR HILL",35.5667,-87.6833
200802,5,2040,200802,5,2045,14075,79131,TENNESSEE,47,2008,February,Tornado,"PRIMM SPGS",35.8042,-87.2875
200802,6,112,200802,6,118,14075,79133,TENNESSEE,47,2008,February,Tornado,"MILLERSVILLE",36.3528,-86.6736
200802,6,122,200802,6,145,14075,79134,TENNESSEE,47,2008,February,Tornado,"LIBERTY",36.4042,-86.5417
200802,6,145,200802,6,147,14075,79135,TENNESSEE,47,2008,February,Tornado,"KINGFIELD",35.8875,-87.0542
200802,5,2005,200802,5,2010,14075,79136,TENNESSEE,47,2008,February,Tornado,"BIG SANDY",36.2022,-88.0768
200802,5,2007,200802,5,2025,14075,79137,TENNESSEE,47,2008,February,Tornado,"FAXON",36.2542,-88.0073
200802,5,2202,200802,5,2207,14075,79138,TENNESSEE,47,2008,February,Tornado,"CASTALIAN SPGS",36.3822,-86.3358
200802,5,2341,200802,5,2341,14075,79152,TENNESSEE,47,2008,February,Tornado,"LOBELVILLE",35.81,-87.822
200802,5,2351,200802,5,2351,14075,79153,TENNESSEE,47,2008,February,Tornado,"ONLY",35.8708,-87.6639
200802,6,44,200802,6,44,14075,79154,TENNESSEE,47,2008,February,Tornado,"SCOTTSBORO",36.2083,-86.9514
200802,6,32,200802,6,32,14075,79157,TENNESSEE,47,2008,February,Tornado,"TIDWELL",36.0125,-87.3167
200802,5,2231,200802,5,2250,13933,79195,KENTUCKY,21,2008,February,Tornado,"BUGTUSSLE",36.625,-85.89
200802,5,2250,200802,5,2251,13933,79196,KENTUCKY,21,2008,February,Tornado,"MUD CAMP",36.7771,-85.5759
200802,17,1552,200802,17,1555,14102,79325,GEORGIA,13,2008,February,Tornado,"LOWELL",33.4393,-85.0868
200802,17,1652,200802,17,1705,14102,79453,GEORGIA,13,2008,February,Tornado,"OMAHA",32.1582,-85.0297
200802,17,1705,200802,17,1726,14102,79454,GEORGIA,13,2008,February,Tornado,"JAMESTOWN",32.2411,-84.83
200802,17,1726,200802,17,1750,14102,79458,GEORGIA,13,2008,February,Tornado,"BRANTLEY",32.3395,-84.6571
200802,17,1750,200802,17,1818,14102,79465,GEORGIA,13,2008,February,Tornado,"MAUK",32.4855,-84.42
200802,16,2135,200802,16,2135,14166,79485,TEXAS,48,2008,February,Tornado,"LA MARQUE",29.37,-94.99
200802,17,1818,200802,17,1833,14102,79540,GEORGIA,13,2008,February,Tornado,"ROBERTA",32.6586,-84.093
200802,5,2207,200802,5,2214,14075,79650,TENNESSEE,47,2008,February,Tornado,"PAYNES STORE",36.4171,-86.2698
200802,5,2215,200802,5,2231,14075,79653,TENNESSEE,47,2008,February,Tornado,"GREEN GROVE",36.4646,-86.1815
200802,17,1901,200802,17,1904,14102,79658,GEORGIA,13,2008,February,Tornado,"CLINTON",32.9513,-83.6903
200802,6,46,200802,6,52,13902,79770,MISSISSIPPI,28,2008,February,Tornado,"SCOTLAND FORK",32.7093,-90.2314
200802,6,125,200802,6,127,13902,79773,MISSISSIPPI,28,2008,February,Tornado,"SINGLETON",32.8813,-89.5544
200802,6,155,200802,6,157,13902,79982,MISSISSIPPI,28,2008,February,Tornado,"PAULETTE",33.02,-88.49
200802,6,140,200802,6,151,13933,79999,KENTUCKY,21,2008,February,Tornado,"AMOS",36.6403,-86.1132
200802,6,151,200802,6,153,13933,80000,KENTUCKY,21,2008,February,Tornado,"FOUNTAIN RUN",36.7033,-85.9673
200802,6,21,200802,6,25,13933,80215,KENTUCKY,21,2008,February,Tornado,"FRANKLIN XRDS",37.6625,-86.0125
200802,6,27,200802,6,29,13933,80216,KENTUCKY,21,2008,February,Tornado,"TUNNEL HILL",37.6965,-85.7759
200802,6,101,200802,6,103,13933,80217,KENTUCKY,21,2008,February,Tornado,"JIMTOWN",37.6663,-85.1817
200802,6,106,200802,6,108,13933,80218,KENTUCKY,21,2008,February,Tornado,"DEEP CREEK",37.6889,-85.0649
200802,6,120,200802,6,122,13933,80219,KENTUCKY,21,2008,February,Tornado,"STRINGTOWN",37.7603,-84.8393
200802,26,555,200802,26,602,14320,80378,GEORGIA,13,2008,February,Tornado,"BOWDON",33.5638,-85.2905
200802,26,610,200802,26,612,14320,80379,GEORGIA,13,2008,February,Tornado,"CARROLLTON",33.58,-85.0279
200802,12,1245,200802,12,1248,14252,80493,MISSISSIPPI,28,2008,February,Tornado,"FLOWOOD",32.2719,-90.142
200802,6,206,200802,6,215,12502,80765,KENTUCKY,21,2008,February,Tornado,"KENDALL SPGS",38.0989,-83.8332
200802,12,2145,200802,12,2148,14370,80796,FLORIDA,12,2008,February,Tornado,"EVERGLADES CITY",25.8481,-81.39
200802,6,223,200802,6,227,12502,80799,KENTUCKY,21,2008,February,Tornado,"DENNISTON",37.949,-83.53
200802,12,2303,200802,12,2310,14372,80800,FLORIDA,12,2008,February,Tornado,"PLANTATION",26.0884,-80.1894
200802,5,2020,200802,5,2022,14075,80987,TENNESSEE,47,2008,February,Tornado,"FLAT WOOD",35.4635,-87.9048
200802,5,1649,200802,5,1650,12469,80989,ARKANSAS,5,2008,February,Tornado,"NEELY",35.0975,-93.0733
200802,5,1650,200802,5,1652,12469,80991,ARKANSAS,5,2008,February,Tornado,"HOLLA BEND",35.1176,-93.0528
200802,5,2014,200802,5,2020,14075,80992,TENNESSEE,47,2008,February,Tornado,"HOHENWALD BAKER ARPT",35.5921,-87.6491
200802,5,2020,200802,5,2035,14075,80995,TENNESSEE,47,2008,February,Tornado,"HORNERTOWN",35.6523,-87.5682
200802,5,1654,200802,5,1708,12469,80997,ARKANSAS,5,2008,February,Tornado,"GALLA ROCK",35.1703,-92.9864
200802,5,1708,200802,5,1723,12469,81031,ARKANSAS,5,2008,February,Tornado,"HATTIEVILLE",35.2835,-92.8538
200802,5,1812,200802,5,1813,14312,81038,ILLINOIS,17,2008,February,Tornado,"SEDAN",38.5115,-88.9977
200802,5,1812,200802,5,1813,14312,81042,ILLINOIS,17,2008,February,Tornado,"SEDAN",38.5067,-88.9962
200802,5,1723,200802,5,1751,12469,81043,ARKANSAS,5,2008,February,Tornado,"BEVERAGE TOWN",35.4588,-92.6177
200802,5,1751,200802,5,1816,12469,81045,ARKANSAS,5,2008,February,Tornado,"RUSHING",35.713,-92.2759
200802,5,1816,200802,5,1841,12469,81054,ARKANSAS,5,2008,February,Tornado,"GUION",35.9379,-91.9624
200802,5,1841,200802,5,1856,12469,81078,ARKANSAS,5,2008,February,Tornado,"HORSESHOE BEND",36.1544,-91.6802
200802,17,1417,200802,17,1419,14500,81708,ALABAMA,1,2008,February,Tornado,"JACK",31.5777,-86.0985
200802,12,1307,200802,12,1310,14252,81916,MISSISSIPPI,28,2008,February,Tornado,"GULDE",32.2948,-89.8812
200802,12,1345,200802,12,1346,14252,82166,MISSISSIPPI,28,2008,February,Tornado,"SANDPOINT",32.0431,-89.459
200802,17,1159,200802,17,1203,14586,82332,FLORIDA,12,2008,February,Tornado,"MOLINO XRDS",30.7026,-87.3603
200802,17,1214,200802,17,1216,14586,82335,FLORIDA,12,2008,February,Tornado,"CHUMUCKLA",30.785,-87.243
200802,17,1304,200802,17,1316,14588,82347,ALABAMA,1,2008,February,Tornado,"PARKER SPGS",31.097,-86.8023
200802,5,1700,200802,5,1709,14418,82357,TENNESSEE,47,2008,February,Tornado,"BOLTON",35.3097,-89.7592
200802,5,1709,200802,5,1711,14418,82359,TENNESSEE,47,2008,February,Tornado,"GAINESVILLE",35.3884,-89.6662
200802,17,1316,200802,17,1325,14588,82380,ALABAMA,1,2008,February,Tornado,"BECK",31.1878,-86.7004
200802,5,1718,200802,5,1721,14416,82406,MISSISSIPPI,28,2008,February,Tornado,"NORFOLK",34.945,-90.22
200802,5,1732,200802,5,1734,14416,82419,MISSISSIPPI,28,2008,February,Tornado,"HORN LAKE DESOTO ARP",34.9754,-90.0086
200802,5,1734,200802,5,1745,14418,82421,TENNESSEE,47,2008,February,Tornado,"WHITEHAVEN",34.9947,-89.9869
200802,5,1753,200802,5,1754,14416,82426,MISSISSIPPI,28,2008,February,Tornado,"BLUFF SPGS",34.4069,-89.7384
200802,5,1755,200802,5,1757,14418,82428,TENNESSEE,47,2008,February,Tornado,"PALMERSVILLE",36.4232,-88.5298
200802,5,1757,200802,5,1802,14418,82430,TENNESSEE,47,2008,February,Tornado,"CENTER",36.4303,-88.5194
200802,5,1757,200802,5,1804,14416,82435,MISSISSIPPI,28,2008,February,Tornado,"SARDIS LAKE",34.4307,-89.6522
200802,5,1757,200802,5,1807,14416,82436,MISSISSIPPI,28,2008,February,Tornado,"COLLEGE HILL STATION",34.4071,-89.5288
200802,26,625,200802,26,625,14320,82439,GEORGIA,13,2008,February,Tornado,"SANDY PLAINS",34.0388,-84.4789
200802,5,1702,200802,5,1711,12469,82507,ARKANSAS,5,2008,February,Tornado,"WARE'S CHAPEL",36.2073,-92.6219
200802,5,1711,200802,5,1716,12469,82508,ARKANSAS,5,2008,February,Tornado,"COTTER",36.2667,-92.5154
200802,5,1731,200802,5,1732,12469,82509,ARKANSAS,5,2008,February,Tornado,"BIRTA",35.0333,-93.1138
200802,5,1948,200802,5,1956,12469,82510,ARKANSAS,5,2008,February,Tornado,"CLARENDON",34.68,-91.2314
200802,5,1905,200802,5,1908,12469,82588,ARKANSAS,5,2008,February,Tornado,"FUNSTON",35.0712,-92.1407
200802,5,1908,200802,5,1912,12469,82590,ARKANSAS,5,2008,February,Tornado,"EL PASO",35.081,-92.1196
200802,5,1652,200802,5,1654,12469,82614,ARKANSAS,5,2008,February,Tornado,"CARDEN BOTTOMS",35.1401,-93.0295
200802,5,1802,200802,5,1806,14418,82781,TENNESSEE,47,2008,February,Tornado,"EADS",35.204,-89.667
200802,5,1806,200802,5,1809,14418,82783,TENNESSEE,47,2008,February,Tornado,"HICKORY WITHE",35.2336,-89.6379
200802,5,1821,200802,5,1827,14418,82841,TENNESSEE,47,2008,February,Tornado,"YUM YUM",35.3697,-89.3712
200802,5,1827,200802,5,1844,14418,82847,TENNESSEE,47,2008,February,Tornado,"DANCYVILLE",35.3989,-89.3173
200802,5,1844,200802,5,1854,14418,82850,TENNESSEE,47,2008,February,Tornado,"LEIGHTON",35.553,-89.0739
200802,6,204,200802,6,211,12507,82953,ALABAMA,1,2008,February,Tornado,"BEAVERTON",33.9265,-88.0309
200802,6,625,200802,6,640,12507,82982,ALABAMA,1,2008,February,Tornado,"MARBLE VLY",32.9955,-86.5022
200802,6,211,200802,6,213,12507,83001,ALABAMA,1,2008,February,Tornado,"GUIN",33.9763,-87.9518
200802,6,640,200802,6,645,12507,83010,ALABAMA,1,2008,February,Tornado,"GANTTS QUARRY",33.1039,-86.3053
200802,6,251,200802,6,258,12507,83059,ALABAMA,1,2008,February,Tornado,"NEWTONVILLE",33.5294,-87.7729
200802,6,258,200802,6,304,12507,83061,ALABAMA,1,2008,February,Tornado,"NEW LEXINGTON",33.5637,-87.6666
200802,5,1859,200802,5,1907,14418,83137,TENNESSEE,47,2008,February,Tornado,"GILMORE",35.6772,-88.8646
200802,5,1913,200802,5,1914,14418,83145,TENNESSEE,47,2008,February,Tornado,"SPRING CREEK",35.7655,-88.6877
200802,5,1850,200802,5,1853,14416,83183,MISSISSIPPI,28,2008,February,Tornado,"TIPLERSVILLE",34.8873,-88.8739
200802,5,1856,200802,5,1859,14416,83187,MISSISSIPPI,28,2008,February,Tornado,"LONE PINE",34.9192,-88.7856
200802,5,1913,200802,5,1922,14418,83190,TENNESSEE,47,2008,February,Tornado,"RAMER",35.07,-88.6123
200802,5,1919,200802,5,1920,14414,83205,ARKANSAS,5,2008,February,Tornado,"ROSENBAUM",35.1348,-90.8502
200802,5,1920,200802,5,1931,14414,83206,ARKANSAS,5,2008,February,Tornado,"DALTON",36.4235,-91.1749
200802,5,1940,200802,5,1957,14418,83209,TENNESSEE,47,2008,February,Tornado,"BOX ELDER",35.2676,-88.2926
200802,5,1959,200802,5,2000,14414,83214,ARKANSAS,5,2008,February,Tornado,"BEMIS PLANTATION",34.7451,-91.0893
200802,18,108,200802,18,113,14526,83369,FLORIDA,12,2008,February,Tornado,"MT PLEASANT",30.6066,-84.7538
200802,18,138,200802,18,139,14524,83372,GEORGIA,13,2008,February,Tornado,"FOWLSTOWN",30.7276,-84.55
200802,18,200,200802,18,204,14524,83408,GEORGIA,13,2008,February,Tornado,"CAPEL",30.9411,-84.2
200802,12,1445,200802,12,1445,14741,83586,FLORIDA,12,2008,February,Tornado,"COCOA BEACH",28.347,-80.608
200802,6,302,200802,6,320,14728,83608,ALABAMA,1,2008,February,Tornado,"LEOLA",34.397,-87.289
200802,12,1302,200802,12,1305,14750,83637,LOUISIANA,22,2008,February,Tornado,"ST MARTINVILLE",30.08,-91.83
200802,12,1316,200802,12,1318,14750,83638,LOUISIANA,22,2008,February,Tornado,"NEW IBERIA ARPT",30.03,-91.88
200802,6,320,200802,6,324,14728,83642,ALABAMA,1,2008,February,Tornado,"PUMPKIN CENTER",34.5292,-87.1103
200802,6,517,200802,6,529,14728,83659,ALABAMA,1,2008,February,Tornado,"PISGAH",34.667,-85.844
200802,17,130,200802,17,135,14756,83663,LOUISIANA,22,2008,February,Tornado,"PALMETTO",30.6911,-91.9
200802,21,1351,200802,21,1352,14761,83672,LOUISIANA,22,2008,February,Tornado,"HACKBERRY",29.99,-93.57
200802,21,1418,200802,21,1419,14761,83673,LOUISIANA,22,2008,February,Tornado,"VINCENT",30.14,-93.35
200802,21,1722,200802,21,1725,14761,83676,LOUISIANA,22,2008,February,Tornado,"MARROW",30.8195,-92.065
200802,21,1735,200802,21,1740,14761,83679,LOUISIANA,22,2008,February,Tornado,"BODOC",30.9174,-91.9992
200802,16,630,200802,16,633,14781,83843,LOUISIANA,22,2008,February,Tornado,"MORGANZA",30.73,-91.6337
200802,17,355,200802,17,400,14783,83844,LOUISIANA,22,2008,February,Tornado,"ROSELAND",30.77,-90.5017
200802,17,505,200802,17,507,14783,83846,LOUISIANA,22,2008,February,Tornado,"VARNADO",30.88,-89.9986
200802,17,425,200802,17,427,14783,83849,LOUISIANA,22,2008,February,Tornado,"MT HERMON",30.9705,-90.3039
